S no.,Activity,Activity Name,Activity Status,District,UC/Tehsil ,Implementing Partner,Health Facility/School Name,BEMIS,School_Level,School_Type,Latitude,Longitude
1,SO2,BNP,Ongoing,Awaran,Awaran,Azat Foundation,DHQ Hospital Awaran,na,na,na,26.46200,65.25281
2,SO2,BNP,Ongoing,Awaran,Jhao,Azat Foundation,RHC Jhao,na,na,na,26.39400,65.603
3,SO2,BNP,Ongoing,Barkhan,Barkhan,MERF,DHQ Hospital barkhan,na,na,na,29.90100,69.522
4,SO2,BNP,Ongoing,Barkhan,Rakni,MERF,RHC RAKHNI,na,na,na,30.04655,69.92628065
5,SO2,BNP,Ongoing,Chagai,Dalbandin,IHHN,"Prince Fahad Bin Sultan Hospital,Dalbandin",na,na,na,28.88700,64.401
6,SO2,BNP,Ongoing,Chagai,Chagai,IHHN,RHC Chagi,na,na,na,29.35400,64.401
7,SO2,BNP,Ongoing,Chagai,Nukundi,IHHN,RHC Nokundi,na,na,na,28.82800,62.741
8,SO2,BNP,Ongoing,Chaman,Chaman,Tameer-e-Khalk Foundation,DHQ Hospital 2,na,na,na,30.92600,66.44902
9,SO2,BNP,Ongoing,Dera Bugti,Dera Bugti,Tameer-e-Khalk Foundation,DHQ Hospital Dera Bugti,na,na,na,29.03200,69.161
10,SO2,BNP,Ongoing,Dera Bugti,Sui,Tameer-e-Khalk Foundation,RHC SUI,na,na,na,28.63700,69.196
11,SO2,BNP,Ongoing,Dukki,Dukki,Azat Foundation,DHQ Duki,na,na,na,30.15300,68.575
12,SO2,BNP,Ongoing,Gwadar,Gwadar,IHHN,DHQ Hospital Gawadar,na,na,na,25.17100,62.333
13,SO2,BNP,Ongoing,Gwadar,Jiwani,IHHN,RHC Jiwani,na,na,na,25.04500,61.745
14,SO2,BNP,Ongoing,Gwadar,Ormara,IHHN,RHC Ormara,na,na,na,25.20400,64.637
15,SO2,BNP,Ongoing,Gwadar,Pasni,IHHN,RHC Pasni,na,na,na,25.26500,63.474
16,SO2,BNP,Ongoing,Harnai,Harnai,Tameer-e-Khalk Foundation,DHQ Harnai,na,na,na,30.10600,67.932
17,SO2,BNP,Ongoing,Jaffarabad,Jaffarabad,IHHN,DHQ Hospital Jaffarabad,na,na,na,28.37300,68.35
18,SO2,BNP,Ongoing,Usta Mohammad,USTA MOHAMMAD,IHHN,THQ Hospital Osta Muhammad,na,na,na,28.17400,68.042
19,SO2,BNP,Ongoing,Jhal Magsi,Gandawah,IHHN,DHQ Hospital Jhal Magsi,na,na,na,28.28700,67.453
20,SO2,BNP,Ongoing,Kachhi,Kachhi,IHHN,DHQ Hospital Dhadar,na,na,na,29.47700,67.645
21,SO2,BNP,Ongoing,Kachhi,Mach,IHHN,Civil Hospital Mach,na,na,na,29.86200,67.33100
22,SO2,BNP,Ongoing,Kachhi,Bhag,IHHN,Civil Hospital Bhag,na,na,na,29.04700,67.825
23,SO2,BNP,Ongoing,Kalat,Kalat,MERF,DHQ Kalat,na,na,na,29.02300,66.591
24,SO2,BNP,Ongoing,Kalat,Mangocher,MERF,RHC Mandy Haji Mangochar,na,na,na,29.38500,66.64
25,SO2,BNP,Ongoing,Kech,Kech,Azat Foundation,Teaching Hospital Turbat,na,na,na,25.99000,63.062
26,SO2,BNP,Ongoing,Kech,Buleda,Azat Foundation,RHC Bulaida,na,na,na,26.21400,63.153
27,SO2,BNP,Ongoing,Kech,Dasht,Azat Foundation,RHC Dasht Kuddan,na,na,na,25.70900,62.543
28,SO2,BNP,Ongoing,Kech,Tump,Azat Foundation,"RHC Tump, Tehsil Tump Kech",na,na,na,26.09900,62.361
29,SO2,BNP,Ongoing,Kharan,Kharan,Azat Foundation,DHQ Hospital Kharan,na,na,na,28.58900,65.43
30,SO2,BNP,Ongoing,Kharan,Kharan,Azat Foundation,RHC Jamak,na,na,na,28.43545,65.3003911
31,SO2,BNP,Ongoing,Khuzdar,Khuzdar,MERF,DHQ Hospital Khuzdar,na,na,na,27.80100,66.611
32,SO2,BNP,Ongoing,Khuzdar,Naal,MERF,RHC Naal,na,na,na,27.69100,66.194
33,SO2,BNP,Ongoing,Khuzdar,Karkh Moola ,MERF,RHC Karkh/Civil Hospital,na,na,na,27.74000,67.177
34,SO2,BNP,Ongoing,Khuzdar,Zehri (Sub Tehsil),MERF,Nawab Zada Mir Memorial Hospital Zehri,na,na,na,28.56400,66.749
35,SO2,BNP,Ongoing,Khuzdar,Wadh,MERF,THQ Wadh,na,na,na,27.34400,66.373
36,SO2,BNP,Ongoing,Killa Abdullah,Killa Abdullah,Tameer-e-Khalk Foundation,RHC Killa Abdullah,na,na,na,30.72100,66.682086
37,SO2,BNP,Ongoing,Killa Saifullah,Killa Saifullah,IHHN,DHQ Hospital KSF,na,na,na,30.69500,68.35
38,SO2,BNP,Ongoing,Killa Saifullah,Muslim Bagh,IHHN,Civil Hospital Muslim Bagh,na,na,na,30.82500,67.734
39,SO2,BNP,Ongoing,Kohlu,Kohlu,MERF,DHQ Hospital Kohlu,na,na,na,29.89500,69.237
40,SO2,BNP,Ongoing,Lasbela,Uthal,MERF,DHQ Othal,na,na,na,25.81100,66.623
41,SO2,BNP,Ongoing,Lasbela,Bela,MERF,Civil Hospital Bela,na,na,na,26.22200,66.313
